barcode,title,year,format,poster_path,status
,Avengers: Infinity War,2018,Blu-ray,https://image.tmdb.org/t/p/w200/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,owned
,Avengers: Endgame,2019,Blu-ray,https://image.tmdb.org/t/p/w200/bR8ISy1O9XQxqiy0fQFw2BX72RQ.jpg,owned
,Baby Driver,2017,Blu-ray,https://image.tmdb.org/t/p/w200/tYzFuYXmT8LOYASlFCkaPiAFAl0.jpg,owned
,Back to the Future,1985,Blu-ray,https://image.tmdb.org/t/p/w200/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,owned
,Back to the Future Part II,1989,Blu-ray,https://image.tmdb.org/t/p/w200/YBawEsTkUZBDajKbd5LiHkmMGf.jpg,owned
,Back to the Future Part III,1990,Blu-ray,https://image.tmdb.org/t/p/w200/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,owned
,The Bad Education Movie,2015,Blu-ray,https://image.tmdb.org/t/p/w200/vogRAk91jydEuP11xRJSVbaVBnr.jpg,owned
,The Bank Job,2008,Blu-ray,https://image.tmdb.org/t/p/w200/bfXjFTytfFTdo9WeO7lYqzkHG7g.jpg,owned
,Batman,1989,Blu-ray,https://image.tmdb.org/t/p/w200/cij4dd21v2Rk2YtUQbV5kW69WB2.jpg,owned
,Batman & Robin,1997,Blu-ray,https://image.tmdb.org/t/p/w200/i7hEUpDuMN2LOrCEifFyGSHZQSY.jpg,owned
,The Batman,2022,Blu-ray,https://image.tmdb.org/t/p/w200/74xTEgt7R36Fpooo50r9T25onhq.jpg,owned
,Batman Begins,2005,Blu-ray,https://image.tmdb.org/t/p/w200/sPX89Td70IDDjVr85jdSBb4rWGr.jpg,owned
,Batman Forever,1995,Blu-ray,https://image.tmdb.org/t/p/w200/i0fJS8M5UKoETjjJ0zwUiKaR8tr.jpg,owned
,Batman Returns,1992,Blu-ray,https://image.tmdb.org/t/p/w200/jKBjeXM7iBBV9UkUcOXx3m7FSHY.jpg,owned
,Batman v Superman: Dawn of Justice,2016,Blu-ray,https://image.tmdb.org/t/p/w200/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,owned
,Battle: Los Angeles,2011,Blu-ray,https://image.tmdb.org/t/p/w200/jloyGeVYZSxM9zsLFvVOWuj2ey4.jpg,owned
,Beauty and the Beast,1991,Blu-ray,https://image.tmdb.org/t/p/w200/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg,owned
,Beauty and the Beast,2017,Blu-ray,https://image.tmdb.org/t/p/w200/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg,owned
,Bee Movie,2007,Blu-ray,https://image.tmdb.org/t/p/w200/aWe27GmvfVYAd7p0KEtJZWwLWk5.jpg,owned
,Ben-Hur,2016,Blu-ray,https://image.tmdb.org/t/p/w200/c9CoGrBA5yw8A7YBMz0hGzfzpNq.jpg,owned
,Ben-Hur,1959,Blu-ray,https://image.tmdb.org/t/p/w200/m4WQ1dBIrEIHZNCoAjdpxwSKWyH.jpg,owned
,Beowulf,2007,Blu-ray,https://image.tmdb.org/t/p/w200/7QsWYyJAV97N9jOh21pdRIqJeJq.jpg,owned
,The Best Exotic Marigold Hotel,2012,Blu-ray,https://image.tmdb.org/t/p/w200/gNWiOKTWDvPTpr7QfPWk18gLftz.jpg,owned
,The BFG,2016,Blu-ray,https://image.tmdb.org/t/p/w200/vssXmCrfCiARkQ0512oG0wjh2h9.jpg,owned
,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,Blu-ray,https://image.tmdb.org/t/p/w200/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,owned
,Black Adam,2022,Blu-ray,https://image.tmdb.org/t/p/w200/rCtreCr4xiYEWDQTebybolIh6Xe.jpg,owned
,Black Panther,2018,Blu-ray,https://image.tmdb.org/t/p/w200/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,owned
,Black Panther: Wakanda Forever,2022,Blu-ray,https://image.tmdb.org/t/p/w200/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,owned
,Black Widow,2021,Blu-ray,https://image.tmdb.org/t/p/w200/7JPpIjhD2V0sKyFvhB9khUMa30d.jpg,owned
,Blade,1998,Blu-ray,https://image.tmdb.org/t/p/w200/hx0sdduAsr4rq03RZKZzglR25z7.jpg,owned
,Blade II,2002,Blu-ray,https://image.tmdb.org/t/p/w200/yDHwo3eWcMiy5LnnEnlGV9iLu9k.jpg,owned
,Blade: Trinity,2004,Blu-ray,https://image.tmdb.org/t/p/w200/6f7iXvPOnf83MaLB1JmPzUor1rr.jpg,owned
,Blade Runner,1982,Blu-ray,https://image.tmdb.org/t/p/w200/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,owned
,Blade Runner 2049,2017,Blu-ray,https://image.tmdb.org/t/p/w200/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,owned
,Blue Beetle,2023,Blu-ray,https://image.tmdb.org/t/p/w200/mXLOHHc1Zeuwsl4xYKjKh2280oL.jpg,owned
,Bohemian Rhapsody,2018,Blu-ray,https://image.tmdb.org/t/p/w200/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,owned
,The Bounty Hunter,2010,Blu-ray,https://image.tmdb.org/t/p/w200/fJPKar0jnAsS09l3xfP6LL8sUkX.jpg,owned
,The Bourne Identity,2002,Blu-ray,https://image.tmdb.org/t/p/w200/aP8swke3gmowbkfZ6lmNidu0y9p.jpg,owned
,The Bourne Legacy,2012,Blu-ray,https://image.tmdb.org/t/p/w200/1aExL5DTGHj25ZfIC3dDwS84RWi.jpg,owned
